,Group.1,Group.2,Group.3,x
672,8,1998,GROO,18.78
673,9,1998,GROO,13.69
674,10,1998,GROO,7.83
675,11,1998,GROO,2.7199999999999998
676,12,1998,GROO,7.18
677,1,1999,GROO,9.91
678,2,1999,GROO,7.62
679,3,1999,GROO,8.155000000000001
680,4,1999,GROO,9.925
681,5,1999,GROO,14.15
682,6,1999,GROO,17.525
683,7,1999,GROO,19.195
684,8,1999,GROO,20.82
685,9,1999,GROO,21.395000000000003
686,10,1999,GROO,20.545
687,11,1999,GROO,19.43
688,12,1999,GROO,8.28
689,1,2000,GROO,11.6
690,2,2000,GROO,9.25
691,3,2000,GROO,5.01
692,4,2000,GROO,9.956666666666667
693,5,2000,GROO,15.774999999999999
694,6,2000,GROO,19.505
695,7,2000,GROO,18.54
696,8,2000,GROO,16.46
697,9,2000,GROO,17.950000000000003
698,10,2000,GROO,18.79
699,11,2000,GROO,16.86
700,12,2000,GROO,17.55
701,1,2001,GROO,10.95
702,2,2001,GROO,5.32
703,3,2001,GROO,8.465
704,4,2001,GROO,9.66
705,5,2001,GROO,11.686666666666667
706,6,2001,GROO,15.39
707,7,2001,GROO,18.03
708,8,2001,GROO,18.384999999999998
709,9,2001,GROO,11.675
710,10,2001,GROO,13.945
711,11,2001,GROO,10.92
712,12,2001,GROO,5.23
713,1,2002,GROO,7.08
714,2,2002,GROO,9.99
715,3,2002,GROO,7.3100000000000005
716,4,2002,GROO,11.38
717,5,2002,GROO,11.585
718,6,2002,GROO,16.29
719,7,2002,GROO,16.85
720,8,2002,GROO,15.555
721,9,2002,GROO,13.594999999999999
722,10,2002,GROO,15.01
723,11,2002,GROO,7.95
724,12,2002,GROO,10.97
725,1,2003,GROO,5.52
726,2,2003,GROO,8.58
727,3,2003,GROO,9.549999999999999
728,4,2003,GROO,14.675
729,5,2003,GROO,13.58
730,6,2003,GROO,16.665
731,7,2003,GROO,19.485
732,8,2003,GROO,23.39
733,9,2003,GROO,21.295
734,10,2003,GROO,19.11
735,11,2003,GROO,20.299999999999997
736,12,2003,GROO,11.84
737,1,2004,GROO,10.12
738,2,2004,GROO,3.06
739,3,2004,GROO,9.953333333333333
740,4,2004,GROO,12.82
741,5,2004,GROO,14.385
742,6,2004,GROO,19.04
743,7,2004,GROO,16.35
744,8,2004,GROO,17.74
745,9,2004,GROO,18.54
746,10,2004,GROO,19.58
747,11,2004,GROO,15.18
748,12,2004,GROO,9.96
749,1,2005,GROO,16.42
750,2,2005,GROO,5.54
751,3,2005,GROO,9.18
752,4,2005,GROO,12.75
